ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-08-08T00:51:44+00:00,858.4,930.0,894.2,-8.00716,859.424656,861.909671,75352.14,534996.34,0.75308,
2026-08-08T02:46:17+00:00,862.2,863.0,862.6,-0.09274,862.305103,862.20016,140977.08,562747.16,0.59934,
2026-08-08T03:59:06+00:00,862.7,863.0,862.85,-0.03477,862.7285,861.254537,96279.54,464491.81,0.65662,
2026-08-08T05:03:05+00:00,862.99,863.0,862.995,-0.00116,862.998689,862.031888,122195.35,293699.9,0.41237,
2026-08-08T05:51:54+00:00,862.998,863.0,862.999,-0.00023,862.998734,861.423909,92350.65,232257.5,0.431,
2026-08-08T06:27:23+00:00,862.0,863.0,862.5,-0.11594,863.09506,860.773748,38805.67,197659.09,0.67178,
2026-08-08T07:29:27+00:00,862.0,863.0,862.5,-0.11594,862.742594,860.036877,52087.02,228073.13,0.62816,
2026-08-08T08:07:49+00:00,860.0,863.0,861.5,-0.34823,862.441015,859.935364,107459.93,265015.97,0.423,
2026-08-08T08:57:20+00:00,861.1,863.0,862.05,-0.2204,861.884089,859.887648,69098.61,287831.52,0.61282,
2026-08-08T09:38:04+00:00,862.0,863.0,862.5,-0.11594,862.764172,859.692025,35089.34,215034.95,0.71942,
2026-08-08T10:06:23+00:00,861.0,863.0,862.0,-0.23202,861.442446,859.938243,26509.44,258098.89,0.81371,
2026-08-08T10:48:23+00:00,859.0,863.0,861.0,-0.46458,862.671847,860.18648,71656.44,330538.94,0.64367,
2026-08-08T11:14:24+00:00,861.0,863.0,862.0,-0.23202,863.035468,862.391132,63406.88,351768.42,0.69455,
2026-08-08T11:45:06+00:00,764.98,863.0,813.99,-12.04192,814.43046,862.365342,70159.0,269236.36,0.58656,
2026-08-08T12:04:39+00:00,861.0,863.5,862.25,-0.28994,862.460772,862.996558,72657.74,320569.15,0.63045,
2026-08-08T13:08:41+00:00,861.0,865.0,863.0,-0.4635,862.533068,862.661731,11065.07,538482.48,0.95973,
2026-08-08T13:54:41+00:00,861.5,866.0,863.75,-0.52098,862.175191,864.911175,130481.37,471405.41,0.56643,
2026-08-08T14:25:29+00:00,860.0,866.0,863.0,-0.69525,860.973664,862.996085,81008.23,678053.0,0.78656,
2026-08-08T14:57:46+00:00,860.902,866.0,863.451,-0.59042,861.434622,863.218282,41853.49,651597.19,0.87929,
2026-08-08T15:31:32+00:00,859.5,869.81,864.655,-1.19238,860.834562,864.217578,46690.08,588004.42,0.85287,
2026-08-08T15:59:06+00:00,859.5,869.81,864.655,-1.19238,860.87387,864.045729,35434.41,630465.46,0.89357,
2026-08-08T16:40:05+00:00,859.0,866.0,862.5,-0.81159,859.109091,863.729881,7974.07,676313.99,0.97669,
2026-08-08T17:07:38+00:00,859.9,866.0,862.95,-0.70688,859.978007,864.479579,25204.86,871847.97,0.94381,
2026-08-08T17:43:52+00:00,859.899,866.0,862.9495,-0.70699,860.943924,864.182489,6464.79,953891.8,0.98654,
2026-08-08T18:04:56+00:00,861.5,866.0,863.75,-0.52098,861.958357,864.623203,765.65,757027.33,0.99798,
2026-08-08T18:54:15+00:00,861.0,866.0,863.5,-0.57904,861.998751,864.391359,1415.04,847661.87,0.99667,
2026-08-08T19:22:54+00:00,861.0,866.0,863.5,-0.57904,861.66754,864.51107,3330.75,685925.42,0.99034,
2026-08-08T19:49:33+00:00,860.999,866.0,863.4995,-0.57915,861.244232,865.314031,8219.15,562513.05,0.9712,
