ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-08-18T00:53:09+00:00,887.6,891.0,889.3,-0.38232,887.745397,888.945269,93165.9,523373.54,0.69778,
2026-08-18T02:09:13+00:00,887.0,891.0,889.0,-0.44994,888.020081,889.709571,46966.11,349841.0,0.76328,
2026-08-18T03:07:28+00:00,888.999,891.0,889.9995,-0.22483,889.272834,888.824576,108623.86,470484.88,0.62486,
2026-08-18T03:54:38+00:00,889.0,891.0,890.0,-0.22472,889.689742,887.689696,59713.48,1617404.79,0.92879,
2026-08-18T04:28:41+00:00,888.5,891.0,889.75,-0.28098,888.914792,887.11254,60583.7,1496981.08,0.92221,
2026-08-18T05:03:26+00:00,889.0,891.0,890.0,-0.22472,889.080605,887.432637,61998.13,926340.27,0.87454,
2026-08-18T05:39:02+00:00,887.0,891.0,889.0,-0.44994,888.52456,887.435421,62195.39,1496334.38,0.92019,
2026-08-18T06:00:27+00:00,887.9,891.0,889.45,-0.34853,888.921464,887.869851,61942.92,791237.15,0.8548,
2026-08-18T06:57:06+00:00,889.0,891.0,890.0,-0.22472,889.690869,887.609254,68999.73,273615.32,0.59722,
2026-08-18T07:37:41+00:00,889.0,891.0,890.0,-0.22472,889.674723,886.89546,65471.57,282128.3,0.62329,
