ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-09-01T00:20:00+00:00,930.0,941.0,935.5,-1.17584,936.439546,938.884173,128663.73,713800.45,0.69455,
2026-09-01T05:20:38+00:00,939.0,940.0,939.5,-0.10644,939.26928,939.47394,102301.54,367324.28,0.56433,
2026-09-01T10:14:29+00:00,939.99,950.34,945.165,-1.09505,940.060046,938.491466,136883.73,258585.43,0.30774,
2026-09-01T14:55:56+00:00,947.35,956.54,951.945,-0.96539,947.820744,952.795354,10864.29,646769.68,0.96696,
2026-09-01T18:08:17+00:00,948.0,950.0,949.0,-0.21075,949.673064,949.434304,2596.93,509458.91,0.98986,
2026-09-01T21:00:01+00:00,955.0,956.6,955.8,-0.1674,956.486337,956.527145,76601.02,518011.61,0.74235,
2026-09-01T23:13:50+00:00,957.0,961.5,959.25,-0.46912,958.53967,960.632968,30260.02,394759.95,0.85761,
