ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-09-24T00:29:39+00:00,967.0,975.0,971.0,-0.82389,967.392047,965.985902,131053.13,396507.13,0.50317,
2026-09-24T05:14:32+00:00,967.95,967.0,967.475,0.09819,967.995265,965.496016,105369.48,134906.11,0.12293,
2026-09-24T10:05:17+00:00,966.0,965.506,965.753,0.05115,967.468397,964.528934,114387.34,96552.07,-0.08455,
2026-09-24T14:58:43+00:00,965.0,970.0,967.5,-0.5168,966.828013,965.77321,110953.12,365303.82,0.53406,
