ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-08-16T00:01:32+00:00,870.0,876.0,873.0,-0.68729,871.021545,872.092148,90274.82,540337.74,0.71369,
2026-08-16T01:51:59+00:00,872.0,876.0,874.0,-0.45767,873.08566,871.78625,143807.95,256305.34,0.28116,
2026-08-16T02:49:26+00:00,873.0,876.0,874.5,-0.34305,873.836675,871.210969,148161.15,343199.32,0.39694,
2026-08-16T03:35:59+00:00,873.6,876.0,874.8,-0.27435,873.902357,871.377006,177441.72,197737.55,0.0541,
2026-08-16T04:18:54+00:00,873.0,876.0,874.5,-0.34305,873.785637,872.028296,121211.3,180423.51,0.1963,
2026-08-16T04:54:22+00:00,872.5,876.0,874.25,-0.40034,873.918425,872.128903,139785.33,198337.13,0.17317,
2026-08-16T05:20:24+00:00,873.95,876.0,874.975,-0.23429,874.215381,872.074583,226922.45,130110.69,-0.27116,
2026-08-16T05:49:29+00:00,873.95,876.0,874.975,-0.23429,874.273282,871.757154,256942.52,137356.28,-0.30329,
2026-08-16T06:15:43+00:00,873.95,876.0,874.975,-0.23429,874.252191,871.685789,231699.99,71266.19,-0.52954,
2026-08-16T07:02:28+00:00,873.95,876.0,874.975,-0.23429,874.258689,871.685789,217763.67,104187.0,-0.35278,
2026-08-16T07:39:43+00:00,873.95,876.0,874.975,-0.23429,874.249499,872.200432,214425.59,152996.92,-0.16719,
2026-08-16T07:58:57+00:00,873.95,876.0,874.975,-0.23429,874.249499,871.891161,285307.54,153645.74,-0.29994,
2026-08-16T08:35:09+00:00,873.95,876.0,874.975,-0.23429,874.249499,870.778396,269027.93,153134.34,-0.27452,
2026-08-16T09:00:10+00:00,873.95,876.0,874.975,-0.23429,874.249499,870.778396,311777.42,191850.23,-0.23813,
2026-08-16T09:34:30+00:00,873.697,876.0,874.8485,-0.26325,874.211501,870.807315,272050.69,145453.06,-0.30323,
2026-08-16T09:55:05+00:00,868.0,876.0,872.0,-0.91743,874.125076,870.792592,272297.21,201231.35,-0.15008,
