ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-09-03T00:37:13+00:00,976.288,978.0,977.144,-0.1752,976.902826,975.086989,108400.86,371563.09,0.5483,
2026-09-03T05:01:16+00:00,977.0,974.2,975.6,0.287,977.04895,974.078731,334412.38,127097.88,-0.44921,
2026-09-03T09:37:42+00:00,977.0,974.0,975.5,0.30753,977.085434,973.145735,649587.63,101965.34,-0.72865,
2026-09-03T13:51:35+00:00,978.75,981.0,979.875,-0.22962,979.231414,978.771642,67338.03,490696.45,0.75866,
2026-09-03T17:19:12+00:00,981.0,982.15,981.575,-0.11716,981.888457,982.094322,109983.13,452194.39,0.60872,
2026-09-03T19:56:40+00:00,981.9,987.599,984.7495,-0.57873,981.944396,983.600688,45383.92,509945.88,0.83655,
