ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-09-26T00:43:27+00:00,967.8,970.5,969.15,-0.27859,968.865093,969.810913,4213.55,863185.67,0.99028,
2026-09-26T05:32:35+00:00,968.9,970.0,969.45,-0.11347,970.691933,969.190217,19417.48,271020.94,0.86629,
2026-09-26T10:10:48+00:00,968.9,970.0,969.45,-0.11347,970.18957,969.313538,59538.6,207436.16,0.55398,
2026-09-26T14:29:33+00:00,968.98,970.6,969.79,-0.16705,969.359542,970.401457,12144.42,578806.73,0.9589,
2026-09-26T17:55:15+00:00,967.899,968.5,968.1995,-0.06207,967.914494,967.736407,3666.48,465132.81,0.98436,
