ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-08-15T00:24:46+00:00,879.0,881.0,880.0,-0.22727,879.754985,880.36355,67990.09,682613.5,0.81884,
2026-08-15T01:55:31+00:00,880.0,885.0,882.5,-0.56657,881.718036,881.544051,182333.49,398052.15,0.37168,
2026-08-15T02:47:42+00:00,881.999,882.0,881.9995,-0.00011,882.681732,881.818321,132085.2,331295.8,0.42991,
2026-08-15T03:25:27+00:00,882.75,882.208,882.479,0.06142,882.901681,882.184008,232554.26,254398.71,0.04486,
2026-08-15T04:02:46+00:00,882.0,881.0,881.5,0.11344,882.833453,880.612783,114898.55,142037.51,0.10563,
2026-08-15T04:40:25+00:00,882.5,881.5,882.0,0.11338,882.94045,881.096845,117443.59,200780.97,0.26188,
2026-08-15T05:02:00+00:00,882.5,881.5,882.0,0.11338,883.434901,881.09474,142856.45,103601.04,-0.15928,
2026-08-15T05:33:56+00:00,882.5,881.5,882.0,0.11338,883.172237,881.166469,196390.4,94000.28,-0.35259,
2026-08-15T05:55:40+00:00,882.5,883.0,882.75,-0.05664,882.945887,882.605146,215284.02,118673.68,-0.28929,
2026-08-15T06:30:44+00:00,880.0,881.5,880.75,-0.17031,882.863528,881.102095,301074.53,109027.06,-0.46829,
2026-08-15T07:08:36+00:00,879.95,882.5,881.225,-0.28937,883.914504,881.107613,275028.4,142401.7,-0.31772,
2026-08-15T07:41:46+00:00,882.5,881.0,881.75,0.17012,883.956399,880.216185,302929.23,119427.87,-0.43447,
2026-08-15T07:59:45+00:00,882.5,881.0,881.75,0.17012,883.956399,880.129811,303145.06,111402.47,-0.46253,
2026-08-15T08:37:17+00:00,882.5,881.0,881.75,0.17012,883.911179,880.173071,309609.59,131544.62,-0.40363,
2026-08-15T09:00:11+00:00,882.5,881.0,881.75,0.17012,883.968328,880.170521,232213.16,115735.26,-0.33476,
2026-08-15T09:33:21+00:00,882.5,881.0,881.75,0.17012,883.968328,880.170521,220059.98,115371.43,-0.3121,
2026-08-15T09:53:46+00:00,883.0,881.0,882.0,0.22676,883.968675,880.165536,256424.69,109362.56,-0.40204,
