ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-08-21T00:27:20+00:00,916.0,916.0,916.0,0.0,916.331996,915.467007,8770.84,616332.64,0.97194,
2026-08-21T02:08:20+00:00,917.999,923.0,920.4995,-0.54329,917.999971,919.558143,2379.26,687824.4,0.99311,
2026-08-21T03:14:18+00:00,915.0,919.01,917.005,-0.43729,915.280594,918.729262,41284.85,354440.12,0.79135,
2026-08-21T04:03:20+00:00,917.0,921.01,919.005,-0.43634,918.945015,919.328435,60951.64,341785.29,0.69731,
2026-08-21T04:49:36+00:00,917.0,917.7,917.35,-0.07631,918.516145,917.37091,32838.27,294108.45,0.79912,
2026-08-21T05:19:36+00:00,918.49,918.5,918.495,-0.00109,918.929291,917.447846,51415.82,167283.54,0.5298,
2026-08-21T05:52:44+00:00,918.0,918.0,918.0,0.0,918.404053,917.427059,57443.34,275612.97,0.65505,
2026-08-21T06:23:06+00:00,918.0,918.0,918.0,0.0,919.308465,916.964169,59084.64,227265.72,0.58733,
2026-08-21T07:15:25+00:00,918.5,918.0,918.25,0.05445,919.487579,917.018877,83945.76,199539.85,0.40776,
2026-08-21T07:59:52+00:00,914.0,918.0,916.0,-0.43668,918.673138,917.043064,54647.89,263644.56,0.65662,
2026-08-21T08:50:34+00:00,918.5,918.0,918.25,0.05445,919.441098,916.648806,83541.76,211663.92,0.43401,
2026-08-21T09:22:00+00:00,918.5,918.0,918.25,0.05445,919.31554,916.203069,83695.34,230705.82,0.46759,
2026-08-21T09:56:55+00:00,918.4,918.0,918.2,0.04356,918.622573,916.784492,48724.92,211364.2,0.62532,
2026-08-21T10:29:37+00:00,917.0,920.0,918.5,-0.32662,918.708423,917.682049,46810.88,306049.18,0.73468,
2026-08-21T10:59:36+00:00,917.0,920.0,918.5,-0.32662,918.457358,918.347147,3347.34,253531.72,0.97394,
2026-08-21T11:32:33+00:00,918.0,920.0,919.0,-0.21763,918.523673,918.050129,6950.82,357813.37,0.96189,
2026-08-21T11:56:36+00:00,915.0,918.0,916.5,-0.32733,916.804968,917.028368,13552.73,348272.57,0.92509,
2026-08-21T12:43:08+00:00,917.99,918.0,917.995,-0.00109,918.284308,917.625237,3799.28,770836.21,0.99019,
2026-08-21T13:32:51+00:00,920.0,922.0,921.0,-0.21716,920.238569,921.348812,2438.11,665264.1,0.9927,
2026-08-21T14:09:20+00:00,918.0,921.2,919.6,-0.34798,919.215955,921.000258,6158.1,838420.94,0.98542,
2026-08-21T14:52:24+00:00,918.8,921.0,919.9,-0.23916,919.008186,920.002408,311408.63,188311.79,-0.24633,
2026-08-21T15:20:44+00:00,917.0,918.001,917.5005,-0.1091,918.026799,917.895237,77628.86,406816.04,0.67951,
2026-08-21T15:53:58+00:00,918.4,930.0,924.2,-1.25514,918.492027,917.728296,24554.44,194401.59,0.77571,
