ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-08-24T01:18:15+00:00,920.0,933.0,926.5,-1.40313,920.125568,920.908779,1061.58,585581.88,0.99638,
2026-08-24T02:39:04+00:00,920.0,980.0,950.0,-6.31579,920.50582,921.453431,2669.66,420383.15,0.98738,
2026-08-24T03:36:42+00:00,921.0,980.0,950.5,-6.20726,921.319884,921.424485,8317.94,298954.71,0.94586,
2026-08-24T04:26:09+00:00,920.0,980.0,950.0,-6.31579,921.017287,918.97983,3664.49,249463.75,0.97105,
2026-08-24T05:11:00+00:00,920.0,980.0,950.0,-6.31579,920.874081,919.011437,3951.88,55014.36,0.86596,
2026-08-24T05:52:40+00:00,921.0,980.0,950.5,-6.20726,921.747544,920.139839,4714.45,156918.51,0.94166,
2026-08-24T06:32:43+00:00,921.0,995.0,958.0,-7.72443,921.971763,919.939607,5071.29,104860.44,0.90774,
2026-08-24T07:41:46+00:00,921.0,995.0,958.0,-7.72443,921.956104,919.422001,8774.24,100756.6,0.83979,
2026-08-24T08:26:44+00:00,921.0,995.0,958.0,-7.72443,921.975803,920.035574,9380.02,120408.29,0.85546,
2026-08-24T09:13:25+00:00,921.0,995.0,958.0,-7.72443,921.881092,920.119518,5985.1,175483.66,0.93404,
2026-08-24T10:05:17+00:00,919.5,995.0,957.25,-7.88718,919.854007,920.061113,7403.61,113984.62,0.87802,
2026-08-24T10:49:41+00:00,919.9,995.0,957.45,-7.84375,919.942713,917.951839,4712.86,207459.0,0.95558,
