ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-09-09T00:27:12+00:00,965.0,967.0,966.0,-0.20704,965.201194,964.972414,75176.5,243781.37,0.52861,
2026-09-09T04:59:33+00:00,964.5,964.15,964.325,0.03629,964.938871,963.646992,32372.44,190675.97,0.70973,
2026-09-09T09:32:31+00:00,963.872,964.15,964.011,-0.02884,965.334142,962.241336,89531.94,152732.52,0.26087,
2026-09-09T13:51:59+00:00,964.0,965.0,964.5,-0.10368,964.546286,964.479712,20980.54,415865.01,0.90395,
