ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-09-07T03:57:41+00:00,961.399,963.0,962.1995,-0.16639,964.816801,961.345323,222141.63,177428.23,-0.1119,
2026-09-07T09:02:18+00:00,965.0,959.0,962.0,0.6237,965.533205,958.637809,122768.79,154790.18,0.11537,
2026-09-07T15:01:06+00:00,962.0,963.5,962.75,-0.1558,962.525344,963.355945,2778.4,482087.73,0.98854,
2026-09-07T19:05:51+00:00,809.06,985.5,897.28,-19.66387,928.751338,971.058246,21168.96,588864.95,0.9306,
2026-09-07T21:58:46+00:00,965.0,973.0,969.0,-0.82559,965.713398,970.652273,2847.27,445292.72,0.98729,
