ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-09-04T00:09:38+00:00,972.0,979.0,975.5,-0.71758,972.192698,975.135308,357148.98,305363.02,-0.07817,
2026-09-04T04:28:20+00:00,975.0,973.5,974.25,0.15396,975.794906,972.468772,103645.05,222822.64,0.36505,
2026-09-04T08:59:08+00:00,975.2,972.0,973.6,0.32868,975.810393,971.785164,144535.08,129069.12,-0.05653,
2026-09-04T13:21:05+00:00,970.0,1000.0,985.0,-3.04569,972.850821,972.863917,134953.63,320819.74,0.4078,
2026-09-04T16:54:09+00:00,962.0,970.0,966.0,-0.82816,962.043177,969.118537,67929.03,249505.27,0.57201,
2026-09-04T19:14:04+00:00,950.999,966.0,958.4995,-1.56505,961.853228,965.706356,72294.22,695034.69,0.81157,
2026-09-04T21:31:21+00:00,960.1,966.5,963.3,-0.66438,961.011991,964.767975,192765.77,287258.19,0.19685,
2026-09-04T23:13:49+00:00,960.0,966.02,963.01,-0.62512,961.764623,965.229651,146091.48,609500.12,0.61331,
