ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-09-13T00:17:49+00:00,956.3,958.0,957.15,-0.17761,956.380934,957.40976,3609.78,426665.13,0.98322,
2026-09-13T04:57:10+00:00,959.71,960.0,959.855,-0.03021,960.551524,957.4923,186670.8,788929.17,0.61732,
2026-09-13T10:01:11+00:00,959.5,965.8,962.65,-0.65444,959.878391,956.171211,69903.88,388691.99,0.69514,
2026-09-13T14:15:06+00:00,957.7,959.0,958.35,-0.13565,957.997653,957.10503,7187.42,355785.47,0.9604,
2026-09-13T17:25:45+00:00,959.0,961.0,960.0,-0.20833,959.06513,960.083777,2041.22,440411.34,0.99077,
2026-09-13T19:37:49+00:00,959.0,963.0,961.0,-0.41623,959.669571,961.185699,1767.75,493158.87,0.99286,
