ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-08-11T00:54:41+00:00,867.5,950.0,908.75,-9.0784,867.853589,869.20279,3002.31,651700.82,0.99083,
2026-08-11T03:01:36+00:00,865.0,950.0,907.5,-9.36639,865.746034,868.552981,4807.02,578974.49,0.98353,
2026-08-11T04:35:08+00:00,866.0,900.0,883.0,-3.85051,866.56972,866.024027,6806.02,853638.27,0.98418,
2026-08-11T05:39:29+00:00,866.99,867.0,866.995,-0.00115,866.998538,865.860311,5232.17,844887.17,0.98769,
2026-08-11T06:35:19+00:00,866.99,867.0,866.995,-0.00115,866.998234,865.858001,4479.43,844285.63,0.98944,
2026-08-11T07:50:54+00:00,866.999,867.0,866.9995,-0.00012,867.026633,865.003807,6290.69,832237.2,0.985,
